[2025-08-04 01:21:36] INFO: TEMPLATE_PROCESSOR: Datos sincronizados entre cotizacion_data y datos | IP: ::1
[2025-08-04 01:21:36] INFO: TEMPLATE_PROCESSOR: tiene_datos() ahora devuelve: TRUE | IP: ::1
[2025-08-04 01:21:36] INFO: PROCESSOR: Procesando template con datos disponibles | IP: ::1
[2025-08-04 01:21:36] INFO: PROCESSOR: Claves principales: cotizacion, cliente, empresa, productos, fechas, sistema, totales | IP: ::1
[2025-08-04 01:21:36] INFO: PROCESSOR: Procesando CSS para visualización web | IP: ::1
[2025-08-04 01:21:37] INFO: TEMPLATE_PROCESSOR: Datos sincronizados entre cotizacion_data y datos | IP: ::1
[2025-08-04 01:21:37] INFO: TEMPLATE_PROCESSOR: tiene_datos() ahora devuelve: TRUE | IP: ::1
[2025-08-04 01:21:37] INFO: PROCESSOR: Procesando template con datos disponibles | IP: ::1
[2025-08-04 01:21:37] INFO: PROCESSOR: Claves principales: cotizacion, cliente, empresa, productos, fechas, sistema, totales | IP: ::1
[2025-08-04 01:21:37] INFO: PROCESSOR: Procesando CSS para visualización web | IP: ::1
[2025-08-04 01:26:34] INFO: TEMPLATE_PROCESSOR: Datos sincronizados entre cotizacion_data y datos | IP: ::1
[2025-08-04 01:26:34] INFO: TEMPLATE_PROCESSOR: tiene_datos() ahora devuelve: TRUE | IP: ::1
[2025-08-04 01:26:34] INFO: PROCESSOR: Procesando template con datos disponibles | IP: ::1
[2025-08-04 01:26:34] INFO: PROCESSOR: Claves principales: cotizacion, cliente, empresa, productos, fechas, sistema, totales | IP: ::1
[2025-08-04 01:26:34] INFO: PROCESSOR: Procesando CSS para visualización web | IP: ::1
[2025-08-04 01:34:47] INFO: Plantilla ID 4 actualizada exitosamente | Usuario: hostpanish (ID: 1) | IP: ::1
[2025-08-04 01:34:51] INFO: TEMPLATE_PROCESSOR: Datos sincronizados entre cotizacion_data y datos | Usuario: hostpanish (ID: 1) | IP: ::1
[2025-08-04 01:34:51] INFO: TEMPLATE_PROCESSOR: tiene_datos() ahora devuelve: TRUE | Usuario: hostpanish (ID: 1) | IP: ::1
[2025-08-04 01:34:51] INFO: PROCESSOR: Procesando template con datos disponibles | Usuario: hostpanish (ID: 1) | IP: ::1
[2025-08-04 01:34:51] INFO: PROCESSOR: Claves principales: cotizacion, cliente, empresa, productos, fechas, sistema, totales | Usuario: hostpanish (ID: 1) | IP: ::1
[2025-08-04 01:34:51] INFO: PROCESSOR: Procesando CSS para visualización web | Usuario: hostpanish (ID: 1) | IP: ::1
[2025-08-04 01:37:39] INFO: Plantilla ID 4 actualizada exitosamente | Usuario: hostpanish (ID: 1) | IP: ::1
[2025-08-04 01:37:44] INFO: TEMPLATE_PROCESSOR: Datos sincronizados entre cotizacion_data y datos | Usuario: hostpanish (ID: 1) | IP: ::1
[2025-08-04 01:37:44] INFO: TEMPLATE_PROCESSOR: tiene_datos() ahora devuelve: TRUE | Usuario: hostpanish (ID: 1) | IP: ::1
[2025-08-04 01:37:44] INFO: PROCESSOR: Procesando template con datos disponibles | Usuario: hostpanish (ID: 1) | IP: ::1
[2025-08-04 01:37:44] INFO: PROCESSOR: Claves principales: cotizacion, cliente, empresa, productos, fechas, sistema, totales | Usuario: hostpanish (ID: 1) | IP: ::1
